LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_204051_,20/04/2020,2020:111:11:20:58.9923930,2020:111:11:21:30.7623920,DAY,0.02,13.01273,-15.44019
_204052_,20/04/2020,2020:111:11:21:22.9046120,2020:111:11:21:54.6746110,DAY,1.02,11.5675,-15.75646
_199051_,17/04/2020,2020:108:10:50:06.3539030,2020:108:10:50:38.1239020,DAY,19.52,13.01245,-7.71243
_199052_,17/04/2020,2020:108:10:50:30.2618870,2020:108:10:51:02.0318860,DAY,5.96,11.56757,-8.02869
_199053_,17/04/2020,2020:108:10:50:54.1656340,2020:108:10:51:25.9356330,DAY,6.33,10.12262,-8.34264
_199054_,17/04/2020,2020:108:10:51:18.0778530,2020:108:10:51:49.8478520,DAY,15.74,8.67692,-8.65481
_199055_,17/04/2020,2020:108:10:51:41.9858370,2020:108:10:52:13.7558360,DAY,99.98,7.23128,-8.96529
_201051_,15/04/2020,2020:106:11:02:28.8326440,2020:106:11:03:00.6026430,DAY,32.85,13.01259,-10.80075
_201052_,15/04/2020,2020:106:11:02:52.7406270,2020:106:11:03:24.5106260,DAY,38.78,11.56764,-11.11702
_201053_,15/04/2020,2020:106:11:03:16.6443740,2020:106:11:03:48.4143740,DAY,17.93,10.1227,-11.43099
_201054_,15/04/2020,2020:106:11:03:40.5565940,2020:106:11:04:12.3265930,DAY,48.72,8.67699,-11.74314
_201055_,15/04/2020,2020:106:11:04:04.4645770,2020:106:11:04:36.2345760,DAY,75.1,7.23136,-12.05358
_203051_,13/04/2020,2020:104:11:14:51.2902560,2020:104:11:15:23.0602550,DAY,54.3,13.01253,-13.88919
_203052_,13/04/2020,2020:104:11:15:15.1982390,2020:104:11:15:46.9682380,DAY,51.15,11.56765,-14.20545
_203053_,13/04/2020,2020:104:11:15:39.1062220,2020:104:11:16:10.8762210,DAY,56.63,10.12241,-14.51945
_198052_,10/04/2020,2020:101:10:44:22.3780920,2020:101:10:44:54.1480910,DAY,48.61,11.56755,-6.47751
_198053_,10/04/2020,2020:101:10:44:46.2860760,2020:101:10:45:18.0560750,DAY,43.78,10.12232,-6.79154
_198054_,10/04/2020,2020:101:10:45:10.1898230,2020:101:10:45:41.9598220,DAY,11.8,8.67714,-7.1036
_198055_,10/04/2020,2020:101:10:45:34.1020420,2020:101:10:46:05.8720410,DAY,9.71,7.23123,-7.41413
_200051_,08/04/2020,2020:099:10:56:20.8219230,2020:099:10:56:52.5919220,DAY,0,13.01241,-9.2491
_200052_,08/04/2020,2020:099:10:56:44.7256700,2020:099:10:57:16.4956690,DAY,0.02,11.56771,-9.56531
_200053_,08/04/2020,2020:099:10:57:08.6378890,2020:099:10:57:40.4078880,DAY,9.76,10.12221,-9.8794
_200054_,08/04/2020,2020:099:10:57:32.5416360,2020:099:10:58:04.3116360,DAY,56.16,8.677,-10.19148
_200055_,08/04/2020,2020:099:10:57:56.4538560,2020:099:10:58:28.2238550,DAY,62.58,7.23111,-10.50208
_202051_,06/04/2020,2020:097:11:08:43.1186750,2020:097:11:09:14.8886740,DAY,0,13.01259,-12.33655
_202052_,06/04/2020,2020:097:11:09:07.0266580,2020:097:11:09:38.7966570,DAY,0,11.56762,-12.65285
_202053_,06/04/2020,2020:097:11:09:30.9346410,2020:097:11:10:02.7046410,DAY,2.1,10.12241,-12.96695
_202054_,06/04/2020,2020:097:11:09:54.8426250,2020:097:11:10:26.6126240,DAY,36.57,8.67696,-13.27912
_202055_,06/04/2020,2020:097:11:10:18.7548440,2020:097:11:10:50.5248430,DAY,47.94,7.23106,-13.58969
_204051_,04/04/2020,2020:095:11:21:05.3985790,2020:095:11:21:37.1685780,DAY,0,13.01227,-15.42432
_204052_,04/04/2020,2020:095:11:21:29.3023260,2020:095:11:22:01.0723250,DAY,1.02,11.56754,-15.74055
_199051_,01/04/2020,2020:092:10:50:12.8030170,2020:092:10:50:44.5730160,DAY,0,13.01248,-7.69789
_199052_,01/04/2020,2020:092:10:50:36.7067640,2020:092:10:51:08.4767630,DAY,0,11.56775,-8.01411
_199053_,01/04/2020,2020:092:10:51:00.6189830,2020:092:10:51:32.3889820,DAY,1.25,10.12222,-8.32826
_199054_,01/04/2020,2020:092:10:51:24.5227310,2020:092:10:51:56.2927300,DAY,23.9,8.67699,-8.64034
_199055_,01/04/2020,2020:092:10:51:48.4349500,2020:092:10:52:20.2049490,DAY,99.91,7.23108,-8.95094
_201051_,30/03/2020,2020:090:11:02:35.7310080,2020:090:11:03:07.5010070,DAY,0.06,13.0124,-10.78877
_201052_,30/03/2020,2020:090:11:02:59.6347550,2020:090:11:03:31.4047540,DAY,0,11.56769,-11.10502
_201053_,30/03/2020,2020:090:11:03:23.5385020,2020:090:11:03:55.3085010,DAY,4.52,10.12264,-11.41903
_201054_,30/03/2020,2020:090:11:03:47.4464860,2020:090:11:04:19.2164850,DAY,30.28,8.67715,-11.73118
_201055_,30/03/2020,2020:090:11:04:11.3587050,2020:090:11:04:43.1287040,DAY,72.03,7.23125,-12.0418
_203051_,28/03/2020,2020:088:11:14:58.6249500,2020:088:11:15:30.3949490,DAY,1.49,13.0126,-13.87935
_203052_,28/03/2020,2020:088:11:15:22.5329330,2020:088:11:15:54.3029320,DAY,0.06,11.5676,-14.19566
_203053_,28/03/2020,2020:088:11:15:46.4366810,2020:088:11:16:18.2066800,DAY,2.14,10.1226,-14.50969
_198052_,25/03/2020,2020:085:10:44:30.3693020,2020:085:10:45:02.1393010,DAY,62.48,11.56771,-6.47081
_198053_,25/03/2020,2020:085:10:44:54.2730490,2020:085:10:45:26.0430480,DAY,31.26,10.1227,-6.78487
_198054_,25/03/2020,2020:085:10:45:18.1810320,2020:085:10:45:49.9510320,DAY,74.27,8.67718,-7.09705
_198055_,25/03/2020,2020:085:10:45:42.0974880,2020:085:10:46:13.8674870,DAY,62.03,7.23102,-7.40776
_200051_,23/03/2020,2020:083:10:56:29.2537130,2020:083:10:57:01.0237120,DAY,57.55,13.01235,-9.24459
_200052_,23/03/2020,2020:083:10:56:53.1532240,2020:083:10:57:24.9232230,DAY,21.21,11.56787,-9.56084
_200053_,23/03/2020,2020:083:10:57:17.0654430,2020:083:10:57:48.8354430,DAY,45.5,10.12235,-9.87503
_200054_,23/03/2020,2020:083:10:57:40.9691910,2020:083:10:58:12.7391900,DAY,90.87,8.67713,-10.18721
_200055_,23/03/2020,2020:083:10:58:04.8814100,2020:083:10:58:36.6514090,DAY,99.92,7.23115,-10.49781
_202051_,21/03/2020,2020:081:11:08:51.9910250,2020:081:11:09:23.7610240,DAY,0,13.01264,-12.33449
_202052_,21/03/2020,2020:081:11:09:15.8990080,2020:081:11:09:47.6690070,DAY,0,11.56765,-12.65087
_202053_,21/03/2020,2020:081:11:09:39.8027560,2020:081:11:10:11.5727550,DAY,0.42,10.1226,-12.96494
_202054_,21/03/2020,2020:081:11:10:03.7107390,2020:081:11:10:35.4807380,DAY,0.27,8.6771,-13.27718
_202055_,21/03/2020,2020:081:11:10:27.6187220,2020:081:11:10:59.3887210,DAY,2.31,7.23145,-13.5878
_204051_,19/03/2020,2020:079:11:21:14.7114110,2020:079:11:21:46.4814100,DAY,0,13.01239,-15.42466
_204052_,19/03/2020,2020:079:11:21:38.6151580,2020:079:11:22:10.3851570,DAY,0.76,11.56767,-15.74097
_199051_,16/03/2020,2020:076:10:50:22.2597910,2020:076:10:50:54.0297900,DAY,5.18,13.0127,-7.6997
_199052_,16/03/2020,2020:076:10:50:46.1720100,2020:076:10:51:17.9420090,DAY,53.89,11.56741,-8.01611
_199053_,16/03/2020,2020:076:10:51:10.0715210,2020:076:10:51:41.8415200,DAY,88.45,10.12269,-8.33017
_199054_,16/03/2020,2020:076:10:51:33.9837410,2020:076:10:52:05.7537400,DAY,70.07,8.6769,-8.64244
_199055_,16/03/2020,2020:076:10:51:57.8874880,2020:076:10:52:29.6574870,DAY,100,7.23144,-8.95297
_201051_,14/03/2020,2020:074:11:02:44.8741620,2020:074:11:03:16.6441610,DAY,0.35,13.01263,-10.7899
_201052_,14/03/2020,2020:074:11:03:08.7779090,2020:074:11:03:40.5479080,DAY,0,11.56788,-11.10619
_201053_,14/03/2020,2020:074:11:03:32.6858930,2020:074:11:04:04.4558920,DAY,0,10.12262,-11.42036
_201054_,14/03/2020,2020:074:11:03:56.5981120,2020:074:11:04:28.3681110,DAY,0.05,8.67686,-11.73267
_201055_,14/03/2020,2020:074:11:04:20.5018590,2020:074:11:04:52.2718580,DAY,8.06,7.23139,-12.04319
_203051_,12/03/2020,2020:072:11:15:07.4674360,2020:072:11:15:39.2374350,DAY,0,13.01256,-13.8799
_203052_,12/03/2020,2020:072:11:15:31.3754190,2020:072:11:16:03.1454180,DAY,3.58,11.56754,-14.19627
_203053_,12/03/2020,2020:072:11:15:55.2791660,2020:072:11:16:27.0491650,DAY,7.47,10.12251,-14.51035
_198052_,09/03/2020,2020:069:10:44:38.7460030,2020:069:10:45:10.5160020,DAY,0.45,11.56748,-6.47026
_198053_,09/03/2020,2020:069:10:45:02.6539860,2020:069:10:45:34.4239850,DAY,2.7,10.12222,-6.78448
_198054_,09/03/2020,2020:069:10:45:26.5619690,2020:069:10:45:58.3319680,DAY,1.15,8.67674,-7.09675
_198055_,09/03/2020,2020:069:10:45:50.4699520,2020:069:10:46:22.2399510,DAY,12.37,7.23105,-7.40741
_200051_,07/03/2020,2020:067:10:56:37.3129270,2020:067:10:57:09.0829260,DAY,0,13.01232,-9.24328
_200052_,07/03/2020,2020:067:10:57:01.2124380,2020:067:10:57:32.9824370,DAY,0,11.56783,-9.55959
_200053_,07/03/2020,2020:067:10:57:25.1246570,2020:067:10:57:56.8946560,DAY,0.05,10.12235,-9.87387
_200054_,07/03/2020,2020:067:10:57:49.0284050,2020:067:10:58:20.7984040,DAY,21.12,8.67707,-10.18611
_200055_,07/03/2020,2020:067:10:58:12.9406240,2020:067:10:58:44.7106230,DAY,65.24,7.23116,-10.49685
_202051_,05/03/2020,2020:065:11:08:59.7455420,2020:065:11:09:31.5155410,DAY,0,13.01229,-12.33287
_202052_,05/03/2020,2020:065:11:09:23.6450530,2020:065:11:09:55.4150520,DAY,0,11.5678,-12.6492
_202053_,05/03/2020,2020:065:11:09:47.5530360,2020:065:11:10:19.3230350,DAY,0,10.12258,-12.96343
_202054_,05/03/2020,2020:065:11:10:11.4610190,2020:065:11:10:43.2310180,DAY,3.3,8.67705,-13.27574
_202055_,05/03/2020,2020:065:11:10:35.3732390,2020:065:11:11:07.1432380,DAY,12.54,7.2311,-13.58647
_204051_,03/03/2020,2020:063:11:21:22.1569560,2020:063:11:21:53.9269550,DAY,0.01,13.01258,-15.42266
_204052_,03/03/2020,2020:063:11:21:46.0607030,2020:063:11:22:17.8307020,DAY,0.45,11.56783,-15.73903
_199051_,29/02/2020,2020:060:10:50:29.2610380,2020:060:10:51:01.0310370,DAY,0.23,13.01273,-7.69683
_199052_,29/02/2020,2020:060:10:50:53.1732570,2020:060:10:51:24.9432560,DAY,1.24,11.56752,-8.01335
_199053_,29/02/2020,2020:060:10:51:17.0770040,2020:060:10:51:48.8470030,DAY,0.01,10.12249,-8.3275
_199054_,29/02/2020,2020:060:10:51:40.9849880,2020:060:10:52:12.7549870,DAY,10.55,8.67701,-8.6398
_199055_,29/02/2020,2020:060:10:52:04.8972070,2020:060:10:52:36.6672060,DAY,30.42,7.23109,-8.95051
_201051_,27/02/2020,2020:058:11:02:51.5794340,2020:058:11:03:23.3494330,DAY,1.41,13.01229,-10.78617
_201052_,27/02/2020,2020:058:11:03:15.4789450,2020:058:11:03:47.2489440,DAY,1.63,11.56781,-11.10248
_201053_,27/02/2020,2020:058:11:03:39.3911640,2020:058:11:04:11.1611630,DAY,0.47,10.1223,-11.41677
_201054_,27/02/2020,2020:058:11:04:03.2949120,2020:058:11:04:35.0649110,DAY,2.62,8.67709,-11.72903
_201055_,27/02/2020,2020:058:11:04:27.2028950,2020:058:11:04:58.9728940,DAY,14.96,7.23143,-12.03974
_203051_,25/02/2020,2020:056:11:15:13.8552870,2020:056:11:15:45.6252860,DAY,79.37,13.0125,-13.87505
_203052_,25/02/2020,2020:056:11:15:37.7632710,2020:056:11:16:09.5332700,DAY,90.04,11.56756,-14.19152
_203053_,25/02/2020,2020:056:11:16:01.6712540,2020:056:11:16:33.4412530,DAY,93.5,10.12231,-14.50579
_198052_,22/02/2020,2020:053:10:44:44.6511080,2020:053:10:45:16.4211070,DAY,24.24,11.56771,-6.46436
_198053_,22/02/2020,2020:053:10:45:08.5590910,2020:053:10:45:40.3290900,DAY,2.35,10.12246,-6.77864
_198054_,22/02/2020,2020:053:10:45:32.4713100,2020:053:10:46:04.2413100,DAY,5.48,8.67678,-7.09111
_198055_,22/02/2020,2020:053:10:45:56.3792940,2020:053:10:46:28.1492930,DAY,26.08,7.23114,-7.40186
_200051_,20/02/2020,2020:051:10:56:42.9044760,2020:051:10:57:14.6744750,DAY,7.5,13.01248,-9.23677
_200052_,20/02/2020,2020:051:10:57:06.8124590,2020:051:10:57:38.5824580,DAY,0.02,11.56747,-9.55327
_200053_,20/02/2020,2020:051:10:57:30.7162070,2020:051:10:58:02.4862060,DAY,0.06,10.12251,-9.86754
_200054_,20/02/2020,2020:051:10:57:54.6284260,2020:051:10:58:26.3984250,DAY,11.75,8.67682,-10.17995
_200055_,20/02/2020,2020:051:10:58:18.5364090,2020:051:10:58:50.3064080,DAY,51.32,7.23117,-10.49067
_202051_,18/02/2020,2020:049:11:09:05.0150940,2020:049:11:09:36.7850930,DAY,0,13.01248,-12.32567
_202052_,18/02/2020,2020:049:11:09:28.9230770,2020:049:11:10:00.6930760,DAY,0,11.56755,-12.64221
_202053_,18/02/2020,2020:049:11:09:52.8268240,2020:049:11:10:24.5968230,DAY,0.12,10.12255,-12.95644
_202054_,18/02/2020,2020:049:11:10:16.7348080,2020:049:11:10:48.5048070,DAY,0.07,8.67714,-13.26885
_202055_,18/02/2020,2020:049:11:10:40.6512630,2020:049:11:11:12.4212620,DAY,1.54,7.23098,-13.5797
_204051_,16/02/2020,2020:047:11:21:27.1044580,2020:047:11:21:58.8744570,DAY,76.27,13.01238,-15.41485
_204052_,16/02/2020,2020:047:11:21:51.0082060,2020:047:11:22:22.7782050,DAY,54.46,11.56772,-15.73134
_199051_,13/02/2020,2020:044:10:50:33.7169710,2020:044:10:51:05.4869700,DAY,3.09,13.01245,-7.68799
_199052_,13/02/2020,2020:044:10:50:57.6207180,2020:044:10:51:29.3907170,DAY,3.07,11.56775,-8.00441
_199053_,13/02/2020,2020:044:10:51:21.5287010,2020:044:10:51:53.2987000,DAY,0.02,10.12258,-8.31873
_199054_,13/02/2020,2020:044:10:51:45.4409210,2020:044:10:52:17.2109200,DAY,0.08,8.67687,-8.63116
_199055_,13/02/2020,2020:044:10:52:09.3531400,2020:044:10:52:41.1231390,DAY,0.57,7.23097,-8.94194
_201051_,11/02/2020,2020:042:11:02:55.7088350,2020:042:11:03:27.4788340,DAY,1.69,13.01234,-10.77639
_201052_,11/02/2020,2020:042:11:03:19.6168180,2020:042:11:03:51.3868170,DAY,0.13,11.56741,-11.09293
_201053_,11/02/2020,2020:042:11:03:43.5205660,2020:042:11:04:15.2905650,DAY,2.15,10.12242,-11.40715
_201054_,11/02/2020,2020:042:11:04:07.4285490,2020:042:11:04:39.1985480,DAY,24.89,8.677,-11.71954
_201055_,11/02/2020,2020:042:11:04:31.3407680,2020:042:11:05:03.1107670,DAY,72.08,7.23115,-12.03036
_203051_,09/02/2020,2020:040:11:15:17.6585280,2020:040:11:15:49.4285270,DAY,0.9,13.01236,-13.86436
_203052_,09/02/2020,2020:040:11:15:41.5622750,2020:040:11:16:13.3322740,DAY,0.09,11.56771,-14.18087
_203053_,09/02/2020,2020:040:11:16:05.4702580,2020:040:11:16:37.2402570,DAY,0.97,10.12251,-14.49519
_198052_,06/02/2020,2020:037:10:44:47.9505240,2020:037:10:45:19.7205230,DAY,0,11.56746,-6.45289
_198053_,06/02/2020,2020:037:10:45:11.8585070,2020:037:10:45:43.6285060,DAY,0,10.12228,-6.76724
_198054_,06/02/2020,2020:037:10:45:35.7622540,2020:037:10:46:07.5322530,DAY,0,8.67714,-7.0796
_198055_,06/02/2020,2020:037:10:45:59.6744730,2020:037:10:46:31.4444720,DAY,8.78,7.23127,-7.39042
_200051_,04/02/2020,2020:035:10:56:45.9540940,2020:035:10:57:17.7240930,DAY,0,13.01254,-9.2251
_200052_,04/02/2020,2020:035:10:57:09.8620770,2020:035:10:57:41.6320760,DAY,0,11.56763,-9.54169
_200053_,04/02/2020,2020:035:10:57:33.7700610,2020:035:10:58:05.5400600,DAY,0,10.12244,-9.85607
_200054_,04/02/2020,2020:035:10:57:57.6780440,2020:035:10:58:29.4480430,DAY,0.17,8.67703,-10.16851
_200055_,04/02/2020,2020:035:10:58:21.5860270,2020:035:10:58:53.3560260,DAY,0.35,7.23143,-10.47934
_202051_,02/02/2020,2020:033:11:09:08.4077780,2020:033:11:09:40.1777770,DAY,9.24,13.01263,-12.31635
_202052_,02/02/2020,2020:033:11:09:32.3157610,2020:033:11:10:04.0857600,DAY,22.31,11.56774,-12.63294
_202053_,02/02/2020,2020:033:11:09:56.2279800,2020:033:11:10:27.9979790,DAY,15.79,10.12232,-12.94736
_202054_,02/02/2020,2020:033:11:10:20.1359630,2020:033:11:10:51.9059620,DAY,19.15,8.67689,-13.25978
_202055_,02/02/2020,2020:033:11:10:44.0481830,2020:033:11:11:15.8181820,DAY,27.99,7.23104,-13.57063
_204051_,31/01/2020,2020:031:11:21:30.8444840,2020:031:11:22:02.6144830,DAY,0.01,13.01254,-15.40745
_204052_,31/01/2020,2020:031:11:21:54.7482320,2020:031:11:22:26.5182310,DAY,9.45,11.56788,-15.72393
_199051_,28/01/2020,2020:028:10:50:37.9653220,2020:028:10:51:09.7353210,DAY,26.86,13.01229,-7.68304
_199052_,28/01/2020,2020:028:10:51:01.8733060,2020:028:10:51:33.6433050,DAY,67.38,11.56741,-7.99964
_199053_,28/01/2020,2020:028:10:51:25.7770530,2020:028:10:51:57.5470520,DAY,91.23,10.1225,-8.31394
_199054_,28/01/2020,2020:028:10:51:49.6850360,2020:028:10:52:21.4550350,DAY,72.06,8.67712,-8.6264
_199055_,28/01/2020,2020:028:10:52:13.6014910,2020:028:10:52:45.3714900,DAY,30.26,7.23104,-8.9373
_201051_,26/01/2020,2020:026:11:03:00.2751050,2020:026:11:03:32.0451040,DAY,11.65,13.01232,-10.77322
_201052_,26/01/2020,2020:026:11:03:24.1788520,2020:026:11:03:55.9488510,DAY,3.21,11.56767,-11.08975
_201053_,26/01/2020,2020:026:11:03:48.0868350,2020:026:11:04:19.8568340,DAY,0.76,10.12254,-11.40413
_201054_,26/01/2020,2020:026:11:04:11.9948180,2020:026:11:04:43.7648180,DAY,12.74,8.67714,-11.7166
_201055_,26/01/2020,2020:026:11:04:35.9112740,2020:026:11:05:07.6812730,DAY,15.02,7.23108,-12.02753
_203051_,24/01/2020,2020:024:11:15:22.5508660,2020:024:11:15:54.3208650,DAY,48.86,13.01225,-13.86329
_203052_,24/01/2020,2020:024:11:15:46.4546130,2020:024:11:16:18.2246120,DAY,13.24,11.56761,-14.17985
_203053_,24/01/2020,2020:024:11:16:10.3625970,2020:024:11:16:42.1325960,DAY,26.49,10.12245,-14.49425
_198052_,21/01/2020,2020:021:10:44:53.3382600,2020:021:10:45:25.1082590,DAY,12.51,11.5676,-6.45507
_198053_,21/01/2020,2020:021:10:45:17.2504790,2020:021:10:45:49.0204780,DAY,3.44,10.12221,-6.76953
_198054_,21/01/2020,2020:021:10:45:41.1584630,2020:021:10:46:12.9284620,DAY,11.14,8.67684,-7.08201
_198055_,21/01/2020,2020:021:10:46:05.0706820,2020:021:10:46:36.8406810,DAY,23.33,7.23104,-7.39294
_200051_,19/01/2020,2020:019:10:56:51.5960130,2020:019:10:57:23.3660120,DAY,2.66,13.01238,-9.22897
_200052_,19/01/2020,2020:019:10:57:15.4997600,2020:019:10:57:47.2697590,DAY,6.3,11.56781,-9.54557
_200053_,19/01/2020,2020:019:10:57:39.4077430,2020:019:10:58:11.1777420,DAY,4.68,10.12269,-9.85997
_200054_,19/01/2020,2020:019:10:58:03.3241980,2020:019:10:58:35.0941970,DAY,0.82,8.67677,-10.17256
_200055_,19/01/2020,2020:019:10:58:27.2364180,2020:019:10:58:59.0064170,DAY,0.9,7.23098,-10.48351
_202051_,17/01/2020,2020:017:11:09:13.7278250,2020:017:11:09:45.4978240,DAY,15.96,13.01259,-12.31942
_202052_,17/01/2020,2020:017:11:09:37.6358080,2020:017:11:10:09.4058070,DAY,17.86,11.56769,-12.63602
_202053_,17/01/2020,2020:017:11:10:01.5480270,2020:017:11:10:33.3180270,DAY,5.53,10.12232,-12.95051
_202054_,17/01/2020,2020:017:11:10:25.4602470,2020:017:11:10:57.2302460,DAY,9.58,8.6767,-13.26307
_202055_,17/01/2020,2020:017:11:10:49.3682300,2020:017:11:11:21.1382290,DAY,3.25,7.23113,-13.57391
_204051_,15/01/2020,2020:015:11:21:35.8511980,2020:015:11:22:07.6211970,DAY,43.11,13.01239,-15.40963
_204052_,15/01/2020,2020:015:11:21:59.7549460,2020:015:11:22:31.5249450,DAY,0.67,11.56781,-15.72621
_199051_,12/01/2020,2020:012:10:50:42.4894220,2020:012:10:51:14.2594210,DAY,2.48,13.01267,-7.68365
_199052_,12/01/2020,2020:012:10:51:06.3974050,2020:012:10:51:38.1674040,DAY,0.39,11.56776,-8.00025
_199053_,12/01/2020,2020:012:10:51:30.3138600,2020:012:10:52:02.0838590,DAY,0.39,10.1222,-8.31486
_199054_,12/01/2020,2020:012:10:51:54.2176080,2020:012:10:52:25.9876070,DAY,0,8.67707,-8.62729
_199055_,12/01/2020,2020:012:10:52:18.1340630,2020:012:10:52:49.9040620,DAY,7.64,7.23103,-8.93828
_201051_,10/01/2020,2020:010:11:03:04.4814520,2020:010:11:03:36.2514510,DAY,18.97,13.01238,-10.77297
_201052_,10/01/2020,2020:010:11:03:28.3894350,2020:010:11:04:00.1594340,DAY,16.64,11.56756,-11.08967
_201053_,10/01/2020,2020:010:11:03:52.2931820,2020:010:11:04:24.0631810,DAY,6.47,10.12264,-11.40405
_201054_,10/01/2020,2020:010:11:04:16.2054020,2020:010:11:04:47.9754010,DAY,0.08,8.67708,-11.71667
_201055_,10/01/2020,2020:010:11:04:40.1176210,2020:010:11:05:11.8876200,DAY,0.02,7.23129,-12.02764
_203051_,08/01/2020,2020:008:11:15:26.4228260,2020:008:11:15:58.1928250,DAY,3.52,13.01254,-13.86246
_203052_,08/01/2020,2020:008:11:15:50.3308090,2020:008:11:16:22.1008080,DAY,2.45,11.5677,-14.17915
_203053_,08/01/2020,2020:008:11:16:14.2430280,2020:008:11:16:46.0130270,DAY,0.38,10.12234,-14.4937
_198052_,05/01/2020,2020:005:10:44:56.7276770,2020:005:10:45:28.4976760,DAY,0.01,11.56758,-6.4536
_198053_,05/01/2020,2020:005:10:45:20.6398960,2020:005:10:45:52.4098950,DAY,0,10.12223,-6.76814
_198054_,05/01/2020,2020:005:10:45:44.5478790,2020:005:10:46:16.3178780,DAY,0,8.67689,-7.0807
_198055_,05/01/2020,2020:005:10:46:08.4600980,2020:005:10:46:40.2300970,DAY,0,7.23109,-7.39168
_200051_,03/01/2020,2020:003:10:56:54.6635750,2020:003:10:57:26.4335740,DAY,60.85,13.01241,-9.22659
_200052_,03/01/2020,2020:003:10:57:18.5673220,2020:003:10:57:50.3373210,DAY,18.77,11.56782,-9.54323
_200053_,03/01/2020,2020:003:10:57:42.4837780,2020:003:10:58:14.2537760,DAY,8.97,10.12224,-9.85784
_200054_,03/01/2020,2020:003:10:58:06.3875250,2020:003:10:58:38.1575240,DAY,0.21,8.67714,-10.17033
_200055_,03/01/2020,2020:003:10:58:30.2997440,2020:003:10:59:02.0697430,DAY,0.08,7.23135,-10.4813
_202051_,01/01/2020,2020:001:11:09:16.8081130,2020:001:11:09:48.5781120,DAY,1,13.01237,-12.31731
_202052_,01/01/2020,2020:001:11:09:40.7160960,2020:001:11:10:12.4860950,DAY,0.09,11.56751,-12.63401
_202053_,01/01/2020,2020:001:11:10:04.6240800,2020:001:11:10:36.3940790,DAY,0.01,10.12237,-12.94846
_202054_,01/01/2020,2020:001:11:10:28.5320630,2020:001:11:11:00.3020620,DAY,0.12,8.67706,-13.26104
_202055_,01/01/2020,2020:001:11:10:52.4442820,2020:001:11:11:24.2142810,DAY,8.43,7.23125,-13.57201
_204051_,30/12/2019,2019:364:11:21:39.1348760,2019:364:11:22:10.9048750,DAY,0,13.01256,-15.40852
_204052_,30/12/2019,2019:364:11:22:03.0470950,2019:364:11:22:34.8170940,DAY,0.56,11.56744,-15.72528
_199051_,27/12/2019,2019:361:10:50:46.0906390,2019:361:10:51:17.8606380,DAY,0,13.01248,-7.6846
_199052_,27/12/2019,2019:361:10:51:09.9943860,2019:361:10:51:41.7643850,DAY,0,11.56789,-8.00126
_199053_,27/12/2019,2019:361:10:51:33.9066050,2019:361:10:52:05.6766040,DAY,0,10.12253,-8.31583
_199054_,27/12/2019,2019:361:10:51:57.8188240,2019:361:10:52:29.5888240,DAY,0.02,8.6769,-8.62846
_199055_,27/12/2019,2019:361:10:52:21.7310440,2019:361:10:52:53.5010430,DAY,14.2,7.23109,-8.93947
_201051_,25/12/2019,2019:359:11:03:08.2901880,2019:359:11:03:40.0601870,DAY,0,13.01238,-10.77547
_201052_,25/12/2019,2019:359:11:03:32.1981710,2019:359:11:04:03.9681700,DAY,0,11.56749,-11.0922
_201053_,25/12/2019,2019:359:11:03:56.1019180,2019:359:11:04:27.8719170,DAY,0,10.12266,-11.40671
_201054_,25/12/2019,2019:359:11:04:20.0183740,2019:359:11:04:51.7883730,DAY,7.08,8.67678,-11.7194
_201055_,25/12/2019,2019:359:11:04:43.9305930,2019:359:11:05:15.7005920,DAY,14.34,7.231,-12.03044
_203051_,23/12/2019,2019:357:11:15:30.4516320,2019:357:11:16:02.2216310,DAY,0,13.01238,-13.86657
_203052_,23/12/2019,2019:357:11:15:54.3596150,2019:357:11:16:26.1296140,DAY,0.01,11.56755,-14.18334
_203053_,23/12/2019,2019:357:11:16:18.2675990,2019:357:11:16:50.0375980,DAY,3.53,10.12243,-14.49787
_200051_,18/12/2019,2019:352:10:56:59.2412480,2019:352:10:57:31.0112470,DAY,0,13.01257,-9.23413
_200052_,18/12/2019,2019:352:10:57:23.1534670,2019:352:10:57:54.9234670,DAY,0,11.56745,-9.55094
_200053_,18/12/2019,2019:352:10:57:47.0572150,2019:352:10:58:18.8272140,DAY,2.06,10.12261,-9.86539
_200054_,18/12/2019,2019:352:10:58:10.9736700,2019:352:10:58:42.7436690,DAY,24.15,8.67671,-10.17812
_200055_,18/12/2019,2019:352:10:58:34.8774170,2019:352:10:59:06.6474160,DAY,32.67,7.2314,-10.48902
_202051_,16/12/2019,2019:350:11:09:21.2672650,2019:350:11:09:53.0372640,DAY,0.07,13.01257,-12.32449
_202052_,16/12/2019,2019:350:11:09:45.1794840,2019:350:11:10:16.9494830,DAY,0.55,11.56744,-12.64128
_202053_,16/12/2019,2019:350:11:10:09.0832320,2019:350:11:10:40.8532310,DAY,0.07,10.12253,-12.95574
_202054_,16/12/2019,2019:350:11:10:32.9912150,2019:350:11:11:04.7612140,DAY,0.5,8.67719,-13.26836
_202055_,16/12/2019,2019:350:11:10:56.9034340,2019:350:11:11:28.6734330,DAY,50.34,7.23139,-13.57939
_204051_,14/12/2019,2019:348:11:21:43.2594370,2019:348:11:22:15.0294360,DAY,0.01,13.01271,-15.41446
_204052_,14/12/2019,2019:348:11:22:07.1674200,2019:348:11:22:38.9374190,DAY,0.12,11.56787,-15.73123
