LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_199051_,23/10/2013,2013:296:10:52:18.3898230,2013:296:10:52:50.1598190,DAY,0.06,13.0124,-7.69823
_199052_,23/10/2013,2013:296:10:52:42.2935680,2013:296:10:53:14.0635640,DAY,0.34,11.56756,-8.01477
_199053_,23/10/2013,2013:296:10:53:06.1973130,2013:296:10:53:37.9673080,DAY,3.23,10.12243,-8.32913
_199054_,23/10/2013,2013:296:10:53:30.1052930,2013:296:10:54:01.8752890,DAY,31.19,8.67687,-8.64161
_199055_,23/10/2013,2013:296:10:53:54.0132740,2013:296:10:54:25.7832700,DAY,64.64,7.23112,-8.9525
_201051_,21/10/2013,2013:294:11:04:41.4534930,2013:294:11:05:13.2234890,DAY,34.47,13.0127,-10.79151
_201052_,21/10/2013,2013:294:11:05:05.3572380,2013:294:11:05:37.1272340,DAY,28.03,11.56788,-11.10812
_201053_,21/10/2013,2013:294:11:05:29.2694550,2013:294:11:06:01.0394510,DAY,63.42,10.12225,-11.42258
_201054_,21/10/2013,2013:294:11:05:53.1689640,2013:294:11:06:24.9389600,DAY,80.69,8.67718,-11.73498
_201055_,21/10/2013,2013:294:11:06:17.0769450,2013:294:11:06:48.8469410,DAY,64.19,7.23141,-12.04585
_203051_,19/10/2013,2013:292:11:17:04.3435510,2013:292:11:17:36.1135470,DAY,5.44,13.01238,-13.88442
_203052_,19/10/2013,2013:292:11:17:28.2430600,2013:292:11:18:00.0130560,DAY,2.14,11.56781,-14.20096
_203053_,19/10/2013,2013:292:11:17:52.1552770,2013:292:11:18:23.9252730,DAY,8.03,10.12223,-14.5155
_198052_,16/10/2013,2013:289:10:46:35.7664420,2013:289:10:47:07.5364380,DAY,11.34,11.56788,-6.47912
_198053_,16/10/2013,2013:289:10:46:59.6786600,2013:289:10:47:31.4486550,DAY,31.96,10.1223,-6.79361
_198054_,16/10/2013,2013:289:10:47:23.5824040,2013:289:10:47:55.3524000,DAY,78.22,8.677,-7.10612
_198055_,16/10/2013,2013:289:10:47:47.4946210,2013:289:10:48:19.2646170,DAY,99.96,7.23101,-7.41707
_200051_,14/10/2013,2013:287:10:58:34.2357300,2013:287:10:59:06.0057260,DAY,7.69,13.01254,-9.2539
